Study ID,Study,Year,r,z,N,v,Appraisal,Emotion,country,female,age,remarks,Dissertation,exp,included
1,Smith & Ellsworth,1987,-0.03,-0.030009005,83,0.0125,difficulty,apathy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.22,-0.223656109,83,0.0125,effort,apathy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.19,-0.192337169,83,0.0125,importance,apathy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.05,-0.050041729,83,0.0125,legitimacy,apathy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.02,0.020002667,83,0.0125,obstacle,apathy,USA,,,"preexam scores excluded due to dependencies of samples. ""obstacle""- the extent to which the person perceives problems or obstacles in the situa- tion that are hampering the atta.inment of a desired goal.",no,no,yes
1,Smith & Ellsworth,1987,-0.23,-0.234189467,83,0.0125,pleasantness,apathy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.35,-0.365443754,83,0.0125,agency-other,challenge,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples; Scores for this scale increase in the direction of other agency. So it’s a bipolar scale where lesser scores means more self-agency and higher scores mean more other-agency.",no,no,yes
1,Smith & Ellsworth,1987,0.29,0.298566264,83,0.0125,attention,challenge,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,0.34,0.354092529,83,0.0125,certainty,challenge,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,-0.01,-0.010000333,83,0.0125,difficulty,challenge,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,0.11,0.110446916,83,0.0125,effort,challenge,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,0.2,0.202732554,83,0.0125,importance,challenge,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,0.28,0.287682072,83,0.0125,legitimacy,challenge,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,-0.17,-0.171666664,83,0.0125,obstacle,challenge,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples. ""obstacle""- the extent to which the person perceives problems or obstacles in the situa- tion that are hampering the atta.inment of a desired goal.",no,no,yes
1,Smith & Ellsworth,1987,0.45,0.484700279,83,0.0125,pleasantness,challenge,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,0.23,0.234189467,83,0.0125,agency-other,fear,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.16,-0.161386696,83,0.0125,attention,fear,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.24,-0.244774113,83,0.0125,certainty,fear,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.09,0.090244188,83,0.0125,difficulty,fear,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.36,0.376885901,83,0.0125,effort,fear,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.22,0.223656109,83,0.0125,importance,fear,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.33,-0.342828254,83,0.0125,legitimacy,fear,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.46,0.497311288,83,0.0125,obstacle,fear,USA,,,"preexam scores excluded due to dependencies of samples. ""obstacle""- the extent to which the person perceives problems or obstacles in the situa- tion that are hampering the atta.inment of a desired goal.",no,no,yes
1,Smith & Ellsworth,1987,-0.52,-0.576339755,83,0.0125,pleasantness,fear,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.13,0.13073985,83,0.0125,agency-other,guilt,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.09,-0.090244188,83,0.0125,attention,guilt,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.7,-0.867300528,83,0.0125,certainty,guilt,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.2,-0.202732554,83,0.0125,difficulty,guilt,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.31,0.320545409,83,0.0125,effort,guilt,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.02,0.020002667,83,0.0125,importance,guilt,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.23,-0.234189467,83,0.0125,legitimacy,guilt,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.33,0.342828254,83,0.0125,obstacle,guilt,USA,,,"preexam scores excluded due to dependencies of samples. ""obstacle""- the extent to which the person perceives problems or obstacles in the situa- tion that are hampering the atta.inment of a desired goal.",no,no,yes
1,Smith & Ellsworth,1987,-0.44,-0.472230804,83,0.0125,pleasantness,guilt,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.35,-0.365443754,83,0.0125,agency-other,hope,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples; Scores for this scale increase in the direction of other agency. So it’s a bipolar scale where lesser scores means more self-agency and higher scores mean more other-agency.",no,no,yes
1,Smith & Ellsworth,1987,0.29,0.298566264,83,0.0125,attention,hope,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,0.34,0.354092529,83,0.0125,certainty,hope,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,-0.01,-0.010000333,83,0.0125,difficulty,hope,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,0.11,0.110446916,83,0.0125,effort,hope,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,0.2,0.202732554,83,0.0125,importance,hope,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,0.28,0.287682072,83,0.0125,legitimacy,hope,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,-0.17,-0.171666664,83,0.0125,obstacle,hope,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples. ""obstacle""- the extent to which the person perceives problems or obstacles in the situa- tion that are hampering the atta.inment of a desired goal.",no,no,yes
1,Smith & Ellsworth,1987,0.45,0.484700279,83,0.0125,pleasantness,hope,USA,,,"emotion measured as hope/challenge, and we separate into hope and challenge. preexam scores excluded due to dependencies of samples",no,no,yes
1,Smith & Ellsworth,1987,-0.28,-0.287682072,83,0.0125,agency-other,joy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.21,0.213171347,83,0.0125,attention,joy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.43,0.459896681,83,0.0125,certainty,joy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.11,-0.110446916,83,0.0125,difficulty,joy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.32,-0.331647109,83,0.0125,effort,joy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.17,0.171666664,83,0.0125,importance,joy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.58,0.662462707,83,0.0125,legitimacy,joy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.55,-0.618381314,83,0.0125,obstacle,joy,USA,,,"preexam scores excluded due to dependencies of samples. ""obstacle""- the extent to which the person perceives problems or obstacles in the situa- tion that are hampering the atta.inment of a desired goal.",no,no,yes
1,Smith & Ellsworth,1987,0.87,1.33307963,83,0.0125,pleasantness,joy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
2,Ellsworth & Smith,1988b,0.43,0.459896681,240,0.004219409,agency-other,anger,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.12,0.120581028,240,0.004219409,effort,anger,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.22,0.223656109,240,0.004219409,obstacle,anger,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.23,-0.234189467,240,0.004219409,pleasantness,anger,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.27,-0.276863823,240,0.004219409,situational-control,anger,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.27,0.276863823,240,0.004219409,attention,challenge,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. ",no,no,yes
2,Ellsworth & Smith,1988b,0.22,0.223656109,240,0.004219409,certainty,challenge,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. ",no,no,yes
2,Ellsworth & Smith,1988b,0.27,0.276863823,240,0.004219409,effort,challenge,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. ",no,no,yes
2,Ellsworth & Smith,1988b,0.22,0.223656109,240,0.004219409,pleasantness,challenge,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. ",no,no,yes
2,Ellsworth & Smith,1988b,-0.13,-0.13073985,240,0.004219409,situational-control,challenge,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. situational control refers to 'To what extent did you feel that circumstances beyond anyone's control determined what was happening in this situation?'",no,no,yes
2,Ellsworth & Smith,1988b,0.1,0.100335348,240,0.004219409,attention,fear,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.2,-0.202732554,240,0.004219409,certainty,fear,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.18,0.181982689,240,0.004219409,effort,fear,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.39,0.411800034,240,0.004219409,importance,fear,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.23,0.234189467,240,0.004219409,obstacle,fear,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.25,-0.255412812,240,0.004219409,pleasantness,fear,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.2,0.202732554,240,0.004219409,situational-control,fear,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.39,-0.411800034,240,0.004219409,agency-other,guilt,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.13,-0.13073985,240,0.004219409,attention,guilt,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.12,-0.120581028,240,0.004219409,certainty,guilt,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.11,-0.110446916,240,0.004219409,importance,guilt,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.16,-0.161386696,240,0.004219409,situational-control,guilt,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.12,0.120581028,240,0.004219409,attention,hope,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.12,0.120581028,240,0.004219409,importance,hope,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.11,-0.110446916,240,0.004219409,obstacle,hope,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.28,0.287682072,240,0.004219409,attention,interest,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.27,0.276863823,240,0.004219409,importance,interest,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.11,0.110446916,240,0.004219409,situational-control,interest,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.27,0.276863823,240,0.004219409,attention,pride,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. ",no,no,yes
2,Ellsworth & Smith,1988b,0.22,0.223656109,240,0.004219409,certainty,pride,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. ",no,no,yes
2,Ellsworth & Smith,1988b,0.27,0.276863823,240,0.004219409,effort,pride,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. ",no,no,yes
2,Ellsworth & Smith,1988b,0.22,0.223656109,240,0.004219409,pleasantness,pride,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. ",no,no,yes
2,Ellsworth & Smith,1988b,-0.13,-0.13073985,240,0.004219409,situational-control,pride,USA,,,"emotion measured as challenge/pride, and we separate into challenge and pride. situational control refers to 'To what extent did you feel that circumstances beyond anyone's control determined what was happening in this situation?'",no,no,yes
2,Ellsworth & Smith,1988b,-0.12,-0.120581028,240,0.004219409,attention,resignation,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.13,-0.13073985,240,0.004219409,effort,resignation,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.16,0.161386696,240,0.004219409,obstacle,resignation,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.1,-0.100335348,240,0.004219409,pleasantness,resignation,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.2,0.202732554,240,0.004219409,predictability,resignation,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.13,0.13073985,240,0.004219409,situational-control,resignation,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.39,0.411800034,240,0.004219409,importance,sadness,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.27,0.276863823,240,0.004219409,obstacle,sadness,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,-0.31,-0.320545409,240,0.004219409,pleasantness,sadness,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.22,0.223656109,240,0.004219409,situational-control,sadness,USA,,,,no,no,yes
2,Ellsworth & Smith,1988b,0.24,0.244774113,240,0.004219409,agency-other,surprise,USA,,,"scores increase in the direction of other-agency. In other words, it’s a bipolar scale where lesser values means self-agency. However, this variable consists of other- and self-control, and fairness. ",no,no,yes
2,Ellsworth & Smith,1988b,-0.27,-0.276863823,240,0.004219409,predictability,surprise,USA,,,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.07,0.070114671,2921,0.0003427,coping ability,anger,many countries,0.55,21.8,"excluded because ""coping ability"" is in nominal scale where each level represent a different anchor",no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,0.12,0.120581028,2921,0.0003427,expectedness,anger,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.11,0.110446916,2921,0.0003427,external causation,anger,many countries,0.55,21.8,excluded because external causation is nominal in scale,no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,-0.18,-0.181982689,2921,0.0003427,goal conduciveness,anger,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.25,-0.255412812,2921,0.0003427,immorality (reversed),anger,many countries,0.55,21.8,"""immorality"" in study. Reverse coded to merge with normative significance (external)",no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.12,-0.120581028,2921,0.0003427,pleasantness,anger,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.09,0.090244188,2921,0.0003427,self-consistency,anger,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.11,0.110446916,2921,0.0003427,coping ability,disgust,many countries,0.55,21.8,"excluded because ""coping ability"" is in nominal scale where each level represent a different anchor",no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,0.11,0.110446916,2921,0.0003427,expectedness,disgust,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.04,0.040021354,2921,0.0003427,external causation,disgust,many countries,0.55,21.8,excluded because external causation is nominal in scale,no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,0.23,0.234189467,2921,0.0003427,goal conduciveness,disgust,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.38,-0.40005965,2921,0.0003427,immorality (reversed),disgust,many countries,0.55,21.8,"""immorality"" in study. Reverse coded to merge with normative significance (external)",no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.16,-0.161386696,2921,0.0003427,pleasantness,disgust,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.09,0.090244188,2921,0.0003427,self-consistency,disgust,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.19,0.192337169,2921,0.0003427,coping ability,fear,many countries,0.55,21.8,"excluded because ""coping ability"" is in nominal scale where each level represent a different anchor",no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,0.2,0.202732554,2921,0.0003427,expectedness,fear,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.2,0.202732554,2921,0.0003427,external causation,fear,many countries,0.55,21.8,excluded because external causation is nominal in scale,no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,-0.29,-0.298566264,2921,0.0003427,goal conduciveness,fear,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.46,-0.497311288,2921,0.0003427,immorality (reversed),fear,many countries,0.55,21.8,"""immorality"" in study. Reverse coded to merge with normative significance (external)",no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.21,-0.213171347,2921,0.0003427,pleasantness,fear,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.14,0.140925576,2921,0.0003427,self-consistency,fear,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.09,0.090244188,2921,0.0003427,coping ability,guilt,many countries,0.55,21.8,"excluded because ""coping ability"" is in nominal scale where each level represent a different anchor",no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,0.11,0.110446916,2921,0.0003427,expectedness,guilt,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.17,0.171666664,2921,0.0003427,external causation,guilt,many countries,0.55,21.8,excluded because external causation is nominal in scale,no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,-0.12,-0.120581028,2921,0.0003427,goal conduciveness,guilt,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.18,-0.181982689,2921,0.0003427,immorality (reversed),guilt,many countries,0.55,21.8,"""immorality"" in study. Reverse coded to merge with normative significance (external)",no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.1,-0.100335348,2921,0.0003427,pleasantness,guilt,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.05,0.050041729,2921,0.0003427,self-consistency,guilt,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.15,0.151140436,2921,0.0003427,coping ability,sadness,many countries,0.55,21.8,"excluded because ""coping ability"" is in nominal scale where each level represent a different anchor",no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,0.26,0.266108407,2921,0.0003427,expectedness,sadness,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.15,0.151140436,2921,0.0003427,external causation,sadness,many countries,0.55,21.8,excluded because external causation is nominal in scale,no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,-0.27,-0.276863823,2921,0.0003427,goal conduciveness,sadness,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.38,-0.40005965,2921,0.0003427,immorality (reversed),sadness,many countries,0.55,21.8,"""immorality"" in study. Reverse coded to merge with normative significance (external)",no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.21,-0.213171347,2921,0.0003427,pleasantness,sadness,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.18,0.181982689,2921,0.0003427,self-consistency,sadness,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.12,0.120581028,2921,0.0003427,coping ability,shame,many countries,0.55,21.8,"excluded because ""coping ability"" is in nominal scale where each level represent a different anchor",no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,0.16,0.161386696,2921,0.0003427,expectedness,shame,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.26,0.266108407,2921,0.0003427,external causation,shame,many countries,0.55,21.8,excluded because external causation is nominal in scale,no,no,no
3,"Mikula, Scherer, Athenstaedt",1998,-0.21,-0.213171347,2921,0.0003427,goal congruence,shame,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.25,-0.255412812,2921,0.0003427,immorality (reversed),shame,many countries,0.55,21.8,"""immorality"" in study. Reverse coded to merge with normative significance (external)",no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,-0.15,-0.151140436,2921,0.0003427,pleasantness,shame,many countries,0.55,21.8,,no,no,yes
3,"Mikula, Scherer, Athenstaedt",1998,0.09,0.090244188,2921,0.0003427,self-consistency,shame,many countries,0.55,21.8,,no,no,yes
4,Bonanno & Keltner,2004,0.35,0.365443754,31,0.035714286,injustice,anger,USA,0.69,50.8,excluded because emotion measure is based on facial expression codings and not how the person is really feeling,no,no,no
4,Bonanno & Keltner,2004,0.14,0.140925576,31,0.035714286,loss,anger,USA,0.69,50.8,excluded because emotion measure is based on facial expression codings and not how the person is really feeling,no,no,no
4,Bonanno & Keltner,2004,0.08,0.080171325,31,0.035714286,justice,joy,USA,0.69,50.8,excluded because emotion measure is based on facial expression codings and not how the person is really feeling,no,no,no
4,Bonanno & Keltner,2004,-0.13,-0.13073985,31,0.035714286,loss,joy,USA,0.69,50.8,excluded because emotion measure is based on facial expression codings and not how the person is really feeling,no,no,no
4,Bonanno & Keltner,2004,0.05,0.050041729,31,0.035714286,injustice,sadness,USA,0.69,50.8,excluded because emotion measure is based on facial expression codings and not how the person is really feeling,no,no,no
4,Bonanno & Keltner,2004,0.33,0.342828254,31,0.035714286,loss,sadness,USA,0.69,50.8,excluded because emotion measure is based on facial expression codings and not how the person is really feeling,no,no,no
5,Zimmer-Gembeck & Skinner,2015,0.17,0.171666664,669,0.001501502,control-self,anger,Australia,0.5,12,,no,no,yes
5,Zimmer-Gembeck & Skinner,2015,0.35,0.365443754,669,0.001501502,other-blame,anger,Australia,0.5,12,,no,no,yes
5,Zimmer-Gembeck & Skinner,2015,0.45,0.484700279,669,0.001501502,self-blame,anger,Australia,0.5,12,,no,no,yes
5,Zimmer-Gembeck & Skinner,2015,-0.08,-0.080171325,669,0.001501502,control-self,anxiety,Australia,0.5,12,"""social anxiety"" in study. Renamed as ""anxiety""",no,no,yes
5,Zimmer-Gembeck & Skinner,2015,0.19,0.192337169,669,0.001501502,other-blame,anxiety,Australia,0.5,12,"""social anxiety"" in study. Renamed as ""anxiety""",no,no,yes
5,Zimmer-Gembeck & Skinner,2015,0.46,0.497311288,669,0.001501502,self-blame,anxiety,Australia,0.5,12,"""social anxiety"" in study. Renamed as ""anxiety""",no,no,yes
5,Zimmer-Gembeck & Skinner,2015,-0.2,-0.202732554,669,0.001501502,control,depression,Australia,0.5,12,excluded because depression is not considered as a specific emotion,no,no,no
5,Zimmer-Gembeck & Skinner,2015,0.05,0.050041729,669,0.001501502,other-blame,depression,Australia,0.5,12,excluded because depression is not considered as a specific emotion,no,no,no
5,Zimmer-Gembeck & Skinner,2015,0.36,0.376885901,669,0.001501502,self-blame,depression,Australia,0.5,12,excluded because depression is not considered as a specific emotion,no,no,no
5,Zimmer-Gembeck & Skinner,2015,0.12,0.120581028,669,0.001501502,control-self,sadness,Australia,0.5,12,,no,no,yes
5,Zimmer-Gembeck & Skinner,2015,0.24,0.244774113,669,0.001501502,other-blame,sadness,Australia,0.5,12,,no,no,yes
5,Zimmer-Gembeck & Skinner,2015,0.54,0.604155603,669,0.001501502,self-blame,sadness,Australia,0.5,12,,no,no,yes
6,Yang & Chu,2018,0.46,0.497311288,1046,0.000958773,risk,anger,USA,0.506,46.96,,no,no,yes
6,Yang & Chu,2018,0.57,0.647522845,1046,0.000958773,risk,anxiety,USA,0.506,46.96,,no,no,yes
6,Yang & Chu,2018,0.4,0.42364893,1046,0.000958773,risk,disgust,USA,0.506,46.96,,no,no,yes
6,Yang & Chu,2018,0.62,0.725005088,1046,0.000958773,risk,fear,USA,0.506,46.96,,no,no,yes
6,Yang & Chu,2018,0.38,0.40005965,1046,0.000958773,risk,sadness,USA,0.506,46.96,,no,no,yes
7,"Winterich, Han, & Lerner",2010,0.22,0.223656109,60,0.01754386,agency-other,anger,USA,0.39449,,,no,no,yes
7,"Winterich, Han, & Lerner",2010,0.19,0.192337169,63,0.016666667,agency-other,sadness,USA,0.39449,,,no,no,yes
8,"Wells,  Scarpa & Waldron",2016,0.4,0.42364893,119,0.00862069,challenge,anger,USA,1,19,,no,no,yes
8,"Wells,  Scarpa & Waldron",2016,0.17,0.171666664,119,0.00862069,control-self,anger,USA,1,19,,no,no,yes
