Emotion,Appraisal,k,r,interpretation,prediction,ref
enjoyment,expectedness,1,0.24***,"The greater the expectation of the occurrence of the situation, the greater the enjoyment.",No prediction & Significant,
enjoyment,future expectancy,1,0.56***,"The greater the expectation that the situation will get better, the greater the enjoyment.",No prediction & Significant,
fear,threat,25,0.47***,"The greater the perceived imminent threat in the situation, the greater the fear.",Predicted & Supported,
fear,control-self,18,-0.3***,"The greater the perceived control over the situation, the less the fear.",Predicted & Supported,
fear,goal relevance,13,0.27***,"The greater the perceived relevance of the situation to one's goals, the greater the fear.",Predicted & Supported,
fear,accountability-other,12,0.066,,Predicted & Not Significant,
fear,accountability-self,11,0.22*,"The greater the perceived personal responsibility of the cause of the situation, the greater the fear.",No prediction & Significant,
fear,pleasantness,9,-0.4***,"The greater the perceived pleasantness of the situation, the less the fear.",Predicted & Supported,
fear,future expectancy,9,-0.084,,No prediction & Not Significant,
fear,fairness,9,-0.2***,"The greater the perceived fairness of the situation, the less the fear.",No prediction & Significant,
fear,goal conduciveness,8,-0.12,,Predicted & Not Significant,
fear,problem-focused coping potential,8,-0.23***,"The greater the perceived ability to cope and adapt to the situation, the less the fear.",No prediction & Significant,
fear,certainty,7,-0.28***,"The greater the understanding of the situation, the less the fear.",Predicted & Supported,
fear,loss,5,0.37***,"The greater the perception that something irretrievable has been lost, the greater the fear.",No prediction & Significant,
fear,control-other,5,0.074,,No prediction & Not Significant,
fear,attentional activity,5,0.14*,"The greater the perceived need to take time/effort to attend to the situation further, the greater the fear.",No prediction & Significant,
fear,effort,5,0.22***,"The greater the need to exert effort to deal with the situation, the greater the fear.",Predicted & Supported,
fear,challenge,5,0.15,,No prediction & Not Significant,
fear,harm,4,0.53***,"The greater the perceived harm, the greater the fear.",Predicted & Supported,
fear,control-circumstances,4,0.25***,"The greater the perception that impersonal circumstances have control over the situation, the greater the fear.",Predicted & Supported,
fear,future predictability,4,-0.23***,"The greater the ability to predict what is going to occur in the future, the less the fear.",Predicted & Supported,
fear,concern for others,4,0.14**,"The greater the concern for others' well-being in the situation, the greater the fear.",No prediction & Significant,
fear,perceived obstacle,3,0.33***,"The greater the perception that an obstacle hampers the attainment of a desired goal, the greater the fear.",Predicted & Supported,
fear,accountability-circumstances,3,0.18***,"The greater the attribution of the cause of the situation to impersonal circumstances, the greater the fear.",No prediction & Significant,
fear,expectedness,3,-0.093,,No prediction & Not Significant,
fear,severity,2,0.37***,"The greater the perceived severity of the consequences of the situation to one's well-being, the greater the fear.",No prediction & Significant,
fear,difficulty,2,0.32*,"The greater the perceived difficulty, the greater the fear.",No prediction & Significant,
fear,intentionality,2,-0.13,,No prediction & Not Significant,
fear,emotion-focused coping potential,2,-0.25*,"The greater the ability to emotionally cope and adapt to the situation, the less the fear.",Predicted & Supported,
fear,novelty,2,0.28***,"The greater the perceived novelty in the situation, the greater the fear.",No prediction & Significant,
fear,uniqueness,2,-0.023,,No prediction & Not Significant,
fear,normative significance (internal),2,-0.011,,No prediction & Not Significant,
fear,easing of threat,1,-0.16*,"The greater the perception that a threat or harm has been removed from the situation, the less the fear.",No prediction & Significant,
fear,effortful success,1,-0.09,,No prediction & Not Significant,
fear,modifiability,1,-0.04,,No prediction & Not Significant,
fear,stability,1,-0.15*,"The greater the perception that the situation is stable and permanent, the less the fear.",No prediction & Significant,
fear,normative significance (external),1,-0.46***,"The greater the consistency of the situation with external and social norms, the less the fear.",No prediction & Significant,
fear,evil character,1,-0.024,,No prediction & Not Significant,
fear,globality,1,-0.09,,No prediction & Not Significant,
fear,reality,1,-0.37,,No prediction & Not Significant,
fear,self-esteem decreased,1,0.33,,No prediction & Not Significant,
fear,temporal distance,1,-0.07*,"The greater the perceived temporal distance to a remembered past situation, the less the fear.",No prediction & Significant,
fear,vastness,1,-0.13,,Predicted & Not Significant,"Piff, P. K., Dietze, P., Feinberg, M., Stancato, D. M., & Keltner, D. (2015). Awe, the small self, and prosocial behavior.ÊJournal of personality and social psychology,Ê108(6), 883.; Vasey, M. W., Vilensky, M. R., Heath, J. H., Harbaugh, C. N., Buffington, A. G., & Fazio, R. H. (2012). It was as big as my head, I swear!: Biased spider size estimation in spider phobia. Journal of anxiety disorders, 26(1), 20-24."
guilt,accountability-self,21,0.41***,"The greater the perceived personal responsibility of the cause of the situation, the greater the guilt.",Predicted & Supported,
guilt,accountability-other,16,-0.0077,,No prediction & Not Significant,
guilt,goal relevance,11,0.056,,No prediction & Not Significant,
guilt,fairness,11,-0.067*,"The greater the perceived fairness of the situation, the less the guilt.",No prediction & Significant,
guilt,threat,10,0.24***,"The greater the perceived imminent threat in the situation, the greater the guilt.",No prediction & Significant,
guilt,control-self,8,-0.052,,No prediction & Not Significant,
guilt,future expectancy,7,-0.0029,,No prediction & Not Significant,
guilt,goal conduciveness,6,-0.29***,"The greater the consistency of the situation with one's goals, the less the guilt.",Predicted & Supported,
guilt,pleasantness,4,-0.17,,Predicted & Not Significant,
guilt,problem-focused coping potential,4,-0.082,,No prediction & Not Significant,
guilt,loss,3,0.38**,"The greater the perception that something irretrievable has been lost, the greater the guilt.",No prediction & Significant,
guilt,accountability-circumstances,3,0.12*,"The greater the attribution of the cause of the situation to impersonal circumstances, the greater the guilt.",No prediction & Significant,
guilt,intentionality,3,0.031,,No prediction & Not Significant,
guilt,emotion-focused coping potential,3,-0.21***,"The greater the ability to emotionally cope and adapt to the situation, the less the guilt.",No prediction & Significant,
guilt,attentional activity,3,-0.085,,No prediction & Not Significant,
guilt,certainty,3,-0.38*,"The greater the understanding of the situation, the less the guilt.",No prediction & Significant,
guilt,stability,3,-0.12*,"The greater the perception that the situation is stable and permanent, the less the guilt.",No prediction & Significant,
guilt,normative significance (internal),3,-0.29,,No prediction & Not Significant,
guilt,harm,2,0.32***,"The greater the perceived harm, the greater the guilt.",No prediction & Significant,
guilt,value,2,-0.016,,No prediction & Not Significant,
guilt,control-other,2,-0.039,,No prediction & Not Significant,
guilt,expectedness,2,0.12***,"The greater the expectation of the occurrence of the situation, the greater the guilt.",No prediction & Significant,
guilt,effort,2,0.32***,"The greater the need to exert effort to deal with the situation, the greater the guilt.",Predicted & Supported,
guilt,normative significance (external),2,-0.023,,No prediction & Not Significant,
guilt,globality,2,-0.11*,"The greater the perception that the event is relevant to all aspect of one's life, the less the guilt.",No prediction & Significant,
guilt,easing of threat,1,-0.36***,"The greater the perception that a threat or harm has been removed from the situation, the less the guilt.",No prediction & Significant,
guilt,difficulty,1,-0.2,,No prediction & Not Significant,
guilt,perceived obstacle,1,0.33**,"The greater the perception that an obstacle hampers the attainment of a desired goal, the greater the guilt.",Predicted & Supported,
guilt,control-circumstances,1,-0.16*,"The greater the perception that impersonal circumstances have control over the situation, the less the guilt.",No prediction & Significant,
guilt,effortful success,1,-0.21***,"The greater the perception that effort could make the situation better, the less the guilt.",No prediction & Significant,
guilt,novelty,1,0.16*,"The greater the perceived novelty in the situation, the greater the guilt.",No prediction & Significant,
guilt,uniqueness,1,-0.04,,No prediction & Not Significant,
guilt,future predictability,1,-0.08,,No prediction & Not Significant,
guilt,concern for others,1,0.37**,"The greater the concern for others' well-being in the situation, the greater the guilt.",No prediction & Significant,
guilt,challenge,1,-0.18*,"The greater the perception of a future gain after overcoming an obstacle in the situation, the less the guilt.",No prediction & Significant,
guilt,temporal distance,1,-0.02,,No prediction & Not Significant,
joy,threat,12,-0.24**,"The greater the perceived imminent threat in the situation, the less the joy.",No prediction & Significant,
joy,goal conduciveness,12,0.56***,"The greater the consistency of the situation with one's goals, the greater the joy.",Predicted & Supported,
joy,control-self,12,0.39***,"The greater the perceived control over the situation, the greater the joy.",Predicted & Supported,
joy,goal relevance,10,0.14,,No prediction & Not Significant,
joy,accountability-other,8,0.007,,No prediction & Not Significant,
joy,certainty,8,0.32***,"The greater the understanding of the situation, the greater the joy.",Predicted & Supported,
joy,challenge,8,0.23**,"The greater the perception of a future gain after overcoming an obstacle in the situation, the greater the joy.",Predicted & Supported,
joy,pleasantness,7,0.64***,"The greater the perceived pleasantness of the situation, the greater the joy.",Predicted & Supported,
joy,fairness,7,0.55***,"The greater the perceived fairness of the situation, the greater the joy.",Predicted & Supported,
joy,accountability-self,6,0.2**,"The greater the perceived personal responsibility of the cause of the situation, the greater the joy.",Predicted & Supported,
joy,problem-focused coping potential,6,0.41***,"The greater the perceived ability to cope and adapt to the situation, the greater the joy.",No prediction & Significant,
joy,attentional activity,5,0.087,,Predicted & Not Significant,
joy,value,4,0.51***,"The greater the perceived value of the situation to one's goals and desires, the greater the joy.",No prediction & Significant,
joy,accountability-circumstances,4,-0.052,,Predicted & Not Significant,
joy,future predictability,4,0.19***,"The greater the ability to predict what is going to occur in the future, the greater the joy.",Predicted & Supported,
joy,loss,3,-0.38*,"The greater the perception that something irretrievable has been lost, the less the joy.",No prediction & Significant,
joy,perceived obstacle,3,-0.33**,"The greater the perception that an obstacle hampers the attainment of a desired goal, the less the joy.",No prediction & Significant,
joy,control-other,3,0.074,,No prediction & Not Significant,
joy,novelty,3,-0.025,,No prediction & Not Significant,
joy,future expectancy,3,0.2***,"The greater the expectation that the situation will get better, the greater the joy.",No prediction & Significant,
joy,effort,3,-0.19***,"The greater the need to exert effort to deal with the situation, the less the joy.",Predicted & Supported,
joy,harm,2,-0.23**,"The greater the perceived harm, the less the joy.",No prediction & Significant,
joy,effortful success,2,0.27**,"The greater the perception that effort could make the situation better, the greater the joy.",No prediction & Significant,
joy,normative significance (internal),2,0.34***,"The greater the consistency of the situation with one's ideals, the greater the joy.",Predicted & Supported,
joy,easing of threat,1,0.53***,"The greater the perception that a threat or harm has been removed from the situation, the greater the joy.",No prediction & Significant,
joy,difficulty,1,-0.11,,No prediction & Not Significant,
joy,intentionality,1,0.43***,"The greater the perceived intentionality of the cause of the event either by oneself or others, the greater the joy.",No prediction & Significant,
joy,control-circumstances,1,-0.04,,No prediction & Not Significant,
joy,emotion-focused coping potential,1,0.41***,"The greater the ability to emotionally cope and adapt to the situation, the greater the joy.",No prediction & Significant,
joy,remarkable,1,0.42***,"The greater the feeling that it was remarkable to have gotten this outcome, the greater the joy.",No prediction & Significant,
joy,uniqueness,1,0.08**,"The greater the perception of how unique the situation was, the greater the joy.",No prediction & Significant,
joy,stability,1,0.15*,"The greater the perception that the situation is stable and permanent, the greater the joy.",No prediction & Significant,
joy,normative significance (external),1,0.29***,"The greater the consistency of the situation with external and social norms, the greater the joy.",Predicted & Supported,
joy,concern for others,1,-0.15*,"The greater the concern for others' well-being in the situation, the less the joy.",No prediction & Significant,
joy,globality,1,0.21***,"The greater the perception that the event is relevant to all aspect of one's life, the greater the joy.",No prediction & Significant,
joy,temporal distance,1,-0.11***,"The greater the perceived temporal distance to a remembered past situation, the less the joy.",No prediction & Significant,
pride,control-self,13,0.28***,"The greater the perceived control over the situation, the greater the pride.",Predicted & Supported,
pride,value,12,0.35***,"The greater the perceived value of the situation to one's goals and desires, the greater the pride.",Predicted & Supported,
pride,accountability-self,10,0.39***,"The greater the perceived personal responsibility of the cause of the situation, the greater the pride.",Predicted & Supported,
pride,accountability-other,8,-0.047,,No prediction & Not Significant,
pride,problem-focused coping potential,7,0.4***,"The greater the perceived ability to cope and adapt to the situation, the greater the pride.",No prediction & Significant,
pride,goal conduciveness,5,0.48**,"The greater the consistency of the situation with one's goals, the greater the pride.",Predicted & Supported,
pride,accountability-circumstances,5,-0.011,,No prediction & Not Significant,
pride,pleasantness,4,0.2*,"The greater the perceived pleasantness of the situation, the greater the pride.",Predicted & Supported,
pride,goal relevance,4,0.15**,"The greater the perceived relevance of the situation to one's goals, the greater the pride.",Predicted & Supported,
pride,threat,3,-0.22,,No prediction & Not Significant,
pride,loss,3,-0.37,,No prediction & Not Significant,
pride,control-other,3,0.0015,,No prediction & Not Significant,
pride,certainty,3,0.23**,"The greater the understanding of the situation, the greater the pride.",Predicted & Supported,
pride,future predictability,3,0.12**,"The greater the ability to predict what is going to occur in the future, the greater the pride.",Predicted & Supported,
pride,fairness,3,0.11,,No prediction & Not Significant,
pride,intentionality,2,0.28,,No prediction & Not Significant,
pride,control-circumstances,2,-0.044,,No prediction & Not Significant,
pride,emotion-focused coping potential,2,0.31*,"The greater the ability to emotionally cope and adapt to the situation, the greater the pride.",No prediction & Significant,
pride,future expectancy,2,0.23***,"The greater the expectation that the situation will get better, the greater the pride.",No prediction & Significant,
pride,attentional activity,2,0.16*,"The greater the perceived need to take time/effort to attend to the situation further, the greater the pride.",No prediction & Significant,
pride,effort,2,0.16*,"The greater the need to exert effort to deal with the situation, the greater the pride.",No prediction & Significant,
pride,stability,2,0.073,,No prediction & Not Significant,
pride,easing of threat,1,0.52***,"The greater the perception that a threat or harm has been removed from the situation, the greater the pride.",No prediction & Significant,
pride,difficulty,1,0.18,,No prediction & Not Significant,
pride,perceived obstacle,1,0.05,,No prediction & Not Significant,
pride,effortful success,1,0.41***,"The greater the perception that effort could make the situation better, the greater the pride.",No prediction & Significant,
pride,novelty,1,-0.28***,"The greater the perceived novelty in the situation, the less the pride.",Predicted & Supported,
pride,uniqueness,1,0.11***,"The greater the perception of how unique the situation was, the greater the pride.",No prediction & Significant,
pride,normative significance (external),1,-0.056,,No prediction & Not Significant,
pride,normative significance (internal),1,0.08,,Predicted & Not Significant,
pride,challenge,1,0.2**,"The greater the perception of a future gain after overcoming an obstacle in the situation, the greater the pride.",No prediction & Significant,
pride,globality,1,0.22***,"The greater the perception that the event is relevant to all aspect of one's life, the greater the pride.",No prediction & Significant,
pride,temporal distance,1,-0.15***,"The greater the perceived temporal distance to a remembered past situation, the less the pride.",No prediction & Significant,
sadness,threat,15,0.35***,"The greater the perceived imminent threat in the situation, the greater the sadness.",No prediction & Significant,
sadness,accountability-other,15,0.11*,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the sadness.",Predicted & Supported,
sadness,control-self,15,-0.27***,"The greater the perceived control over the situation, the less the sadness.",Predicted & Supported,
sadness,accountability-self,13,0.14*,"The greater the perceived personal responsibility of the cause of the situation, the greater the sadness.",No prediction & Significant,
sadness,goal relevance,11,0.32***,"The greater the perceived relevance of the situation to one's goals, the greater the sadness.",Predicted & Supported,
sadness,problem-focused coping potential,11,-0.085,,Predicted & Not Significant,
sadness,future expectancy,10,-0.1,,Predicted & Not Significant,
sadness,goal conduciveness,9,-0.31*,"The greater the consistency of the situation with one's goals, the less the sadness.",Predicted & Supported,
sadness,pleasantness,8,-0.45***,"The greater the perceived pleasantness of the situation, the less the sadness.",Predicted & Supported,
sadness,loss,6,0.42***,"The greater the perception that something irretrievable has been lost, the greater the sadness.",Predicted & Supported,
sadness,certainty,5,-0.29***,"The greater the understanding of the situation, the less the sadness.",Predicted & Supported,
sadness,expectedness,4,0.14,,No prediction & Not Significant,
sadness,attentional activity,4,0.22**,"The greater the perceived need to take time/effort to attend to the situation further, the greater the sadness.",No prediction & Significant,
sadness,accountability-circumstances,3,0.13***,"The greater the attribution of the cause of the situation to impersonal circumstances, the greater the sadness.",Predicted & Supported,
sadness,emotion-focused coping potential,3,-0.3**,"The greater the ability to emotionally cope and adapt to the situation, the less the sadness.",Predicted & Supported,
sadness,future predictability,3,-0.27***,"The greater the ability to predict what is going to occur in the future, the less the sadness.",No prediction & Significant,
sadness,effort,3,0.19***,"The greater the need to exert effort to deal with the situation, the greater the sadness.",No prediction & Significant,
sadness,challenge,3,-0.067,,No prediction & Not Significant,
sadness,perceived obstacle,2,0.39***,"The greater the perception that an obstacle hampers the attainment of a desired goal, the greater the sadness.",No prediction & Significant,
sadness,control-circumstances,2,0.34**,"The greater the perception that impersonal circumstances have control over the situation, the greater the sadness.",No prediction & Significant,
sadness,effortful success,2,-0.24***,"The greater the perception that effort could make the situation better, the less the sadness.",No prediction & Significant,
sadness,novelty,2,0.3***,"The greater the perceived novelty in the situation, the greater the sadness.",No prediction & Significant,
sadness,uniqueness,2,0.055,,No prediction & Not Significant,
sadness,normative significance (external),2,-0.47***,"The greater the consistency of the situation with external and social norms, the less the sadness.",No prediction & Significant,
sadness,concern for others,2,0.32,,No prediction & Not Significant,
sadness,harm,1,0.55***,"The greater the perceived harm, the greater the sadness.",Predicted & Supported,"Smith, C. A., & Lazarus, R. S. (1993). Appraisal components, core relational themes, and the emotions.ÊCognition & emotion,Ê7(3-4), 233-269."
sadness,easing of threat,1,-0.36***,"The greater the perception that a threat or harm has been removed from the situation, the less the sadness.",No prediction & Significant,
sadness,difficulty,1,0.41***,"The greater the perceived difficulty, the greater the sadness.",No prediction & Significant,
sadness,intentionality,1,-0.41***,"The greater the perceived intentionality of the cause of the event either by oneself or others, the less the sadness.",No prediction & Significant,
sadness,control-other,1,-0.07,,Predicted & Not Significant,
sadness,modifiability,1,-0.1,,No prediction & Not Significant,
sadness,stability,1,-0.12,,No prediction & Not Significant,
sadness,fairness,1,-0.45***,"The greater the perceived fairness of the situation, the less the sadness.",No prediction & Significant,
sadness,normative significance (internal),1,0.18***,"The greater the consistency of the situation with one's ideals, the greater the sadness.",No prediction & Significant,
sadness,globality,1,-0.07,,No prediction & Not Significant,
sadness,reality,1,-0.53*,"The greater the perception that is situation is real and had already occurred, the less the sadness.",No prediction & Significant,
sadness,self-esteem decreased,1,0.25,,No prediction & Not Significant,
sadness,temporal distance,1,-0.04,,No prediction & Not Significant,
shame,control-self,12,-0.26***,"The greater the perceived control over the situation, the less the shame.",Predicted & Supported,
shame,accountability-self,11,0.38***,"The greater the perceived personal responsibility of the cause of the situation, the greater the shame.",Predicted & Supported,
shame,fairness,11,-0.092*,"The greater the perceived fairness of the situation, the less the shame.",No prediction & Significant,
shame,value,10,-0.2**,"The greater the perceived value of the situation to one's goals and desires, the less the shame.",Predicted & Supported,
shame,accountability-other,8,-0.048,,No prediction & Not Significant,
shame,threat,5,0.43***,"The greater the perceived imminent threat in the situation, the greater the shame.",No prediction & Significant,
shame,problem-focused coping potential,5,-0.26***,"The greater the perceived ability to cope and adapt to the situation, the less the shame.",No prediction & Significant,
shame,goal relevance,4,0.097,,Predicted & Not Significant,
shame,goal conduciveness,3,-0.21***,"The greater the consistency of the situation with one's goals, the less the shame.",Predicted & Supported,
shame,normative significance (external),3,-0.039,,Predicted & Not Significant,
shame,normative significance (internal),3,-0.28,,No prediction & Not Significant,
shame,pleasantness,2,-0.2***,"The greater the perceived pleasantness of the situation, the less the shame.",Predicted & Supported,
shame,loss,2,0.23***,"The greater the perception that something irretrievable has been lost, the greater the shame.",No prediction & Significant,
shame,accountability-circumstances,2,0.052,,No prediction & Not Significant,
shame,expectedness,2,-0.082,,No prediction & Not Significant,
shame,future expectancy,2,-0.44***,"The greater the expectation that the situation will get better, the less the shame.",No prediction & Significant,
shame,stability,2,-0.042,,Predicted & Not Significant,
